Ano,PAIS,TIPO_PLANTACAO,TEMPERATURA_MEDIA_C,TOTAL_PRECIPITACAO_MM,EMISSAO_CO2_MT,EVENTOS_TEMPERATURA_EXTREMA,ACESSO_IRRIGACAO_%,SAUDE_DO_SOLO,ESTRATEGIA_ADAPTACAO,IMPACTO_ECONOMICO_USD,NIVEL_CO2
2023,USA,Cotton,30.62,1630.22,29.28,9,70.31,31.92,Crop Rotation,509.77,MEDIO
2014,Canada,Coffee,23.46,269.7,24.08,5,52.5,91.9,No Adaptation,387.08,MEDIO
1999,Australia,Barley,1.33,305.9,15.74,3,17.42,50.39,No Adaptation,505.46,MEDIO
2021,USA,Fruits,23.3,1740.68,25.99,10,44.5,60.39,No Adaptation,372.06,MEDIO
2003,France,Cotton,27.89,1929.13,2.54,6,79.09,55.17,No Adaptation,1365.53,BAIXO
2012,France,Coffee,3.2,2121.73,2.71,5,67.6,94.74,Organic Farming,740.12,BAIXO
2011,USA,Corn,15.76,2317.59,21.33,0,94.85,48.6,Drought-resistant Crops,1627.44,MEDIO
2002,India,Corn,9.97,2310.19,23.27,2,19.87,97.48,Water Management,285.96,MEDIO
1991,China,Wheat,11.6,2439.05,9.86,6,27.81,94.62,Water Management,916.03,BAIXO
2000,Nigeria,Rice,6.26,1404.1,10.44,0,85.26,39.84,No Adaptation,966.48,MEDIO
2019,USA,Vegetables,24.62,1342.63,27.04,0,15.98,81.09,No Adaptation,548.31,MEDIO
2008,Australia,Coffee,20.94,2639.05,4.95,6,42.74,46.04,Crop Rotation,711.34,BAIXO
1996,Nigeria,Wheat,23.0,1189.48,18.68,9,11.15,88.18,Drought-resistant Crops,1201.22,MEDIO
2014,Russia,Rice,29.17,1405.59,8.17,6,32.18,75.47,No Adaptation,657.55,BAIXO
2006,Brazil,Cotton,26.73,1660.23,14.92,5,49.95,41.68,Drought-resistant Crops,910.87,MEDIO
2009,China,Rice,21.37,636.48,15.22,2,87.06,72.84,No Adaptation,152.23,MEDIO
2012,Brazil,Barley,-0.86,1303.28,10.19,2,31.78,56.8,Organic Farming,457.24,MEDIO
1999,Australia,Vegetables,11.75,1919.54,12.98,10,67.7,63.87,No Adaptation,904.02,MEDIO
2011,Nigeria,Soybeans,-2.44,586.46,2.03,7,81.72,41.01,Crop Rotation,133.48,BAIXO
2015,France,Cotton,18.52,780.09,10.09,7,34.62,38.21,Crop Rotation,1000.69,MEDIO
2023,Canada,Wheat,-2.61,710.57,4.03,10,67.09,64.99,Water Management,1077.38,BAIXO
2013,Argentina,Cotton,23.46,993.99,28.43,7,73.17,71.79,Organic Farming,464.95,MEDIO
2020,France,Coffee,16.75,2854.49,22.3,7,91.45,47.8,Water Management,1237.26,MEDIO
2002,France,Vegetables,15.62,2348.64,4.1,8,17.76,99.82,Organic Farming,1690.69,BAIXO
2024,Brazil,Rice,-0.91,916.1,12.26,1,31.21,78.33,Water Management,146.4,MEDIO
1991,Brazil,Corn,10.88,2160.93,3.12,4,26.25,74.0,Water Management,818.6,BAIXO
2019,Australia,Wheat,16.22,1222.35,26.35,3,76.52,44.6,Drought-resistant Crops,698.98,MEDIO
2024,Argentina,Coffee,2.79,1944.52,20.71,4,58.99,73.47,Water Management,226.98,MEDIO
2016,Brazil,Soybeans,32.37,1103.04,22.53,1,66.03,56.97,Water Management,366.94,MEDIO
2017,China,Rice,1.05,2618.59,18.72,1,78.76,37.39,Water Management,116.26,MEDIO
2005,China,Corn,-3.75,1051.31,9.59,5,97.18,96.31,Crop Rotation,355.3,BAIXO
1993,USA,Rice,18.05,391.16,18.64,5,91.05,37.87,Crop Rotation,1009.71,MEDIO
2022,China,Wheat,-0.34,2967.32,16.84,0,81.07,64.16,Drought-resistant Crops,269.52,MEDIO
2010,Brazil,Vegetables,0.08,1662.53,13.85,10,77.04,85.24,Water Management,926.75,MEDIO
2012,Russia,Wheat,31.67,863.78,13.9,7,90.97,98.66,Crop Rotation,931.73,MEDIO
1997,Argentina,Soybeans,13.99,1063.82,0.75,0,59.77,81.96,Crop Rotation,1104.59,BAIXO
2009,Russia,Fruits,13.2,2713.36,3.4,1,67.18,64.71,Organic Farming,1217.9,BAIXO
2016,Nigeria,Barley,15.75,2128.68,20.97,1,79.63,62.68,Water Management,1310.99,MEDIO
2011,Australia,Soybeans,1.57,798.14,5.14,9,51.48,32.42,Organic Farming,987.4,BAIXO
2004,Nigeria,Corn,32.28,1836.63,11.44,1,37.67,35.55,Water Management,696.8,MEDIO
1998,India,Soybeans,12.14,1507.9,1.55,0,97.69,89.16,Organic Farming,1163.98,BAIXO
2009,Russia,Wheat,-2.0,2280.09,12.7,8,93.41,48.73,Organic Farming,692.13,MEDIO
1990,Canada,Corn,15.3,739.72,5.03,8,13.92,44.82,Crop Rotation,1159.41,BAIXO
2020,India,Sugarcane,18.74,309.92,20.51,9,76.58,55.53,No Adaptation,1228.61,MEDIO
1992,Canada,Wheat,29.66,1021.58,18.34,2,17.03,64.24,No Adaptation,291.15,MEDIO
2009,France,Rice,20.82,1797.23,12.36,8,65.4,34.94,No Adaptation,927.92,MEDIO
2003,Canada,Vegetables,8.74,1441.35,0.86,5,66.34,30.27,No Adaptation,488.8,BAIXO
1995,Nigeria,Fruits,18.36,1185.54,14.99,2,50.59,58.97,Crop Rotation,1152.48,MEDIO
2017,Argentina,Coffee,-0.53,2177.52,12.07,9,14.68,66.59,Organic Farming,238.24,MEDIO
1995,Argentina,Corn,16.05,915.89,1.41,2,89.41,35.06,Drought-resistant Crops,661.98,BAIXO
2018,Nigeria,Soybeans,4.57,494.92,16.8,6,75.74,77.74,Crop Rotation,397.3,MEDIO
2002,France,Fruits,14.59,1814.94,2.87,6,47.34,69.62,No Adaptation,373.61,BAIXO
2014,Australia,Rice,9.68,2510.94,25.0,8,49.68,81.83,Water Management,393.55,MEDIO
2012,China,Wheat,4.62,242.14,8.9,3,81.95,37.09,Organic Farming,746.04,BAIXO
2019,Australia,Rice,4.53,2513.56,25.76,2,90.53,30.96,Drought-resistant Crops,299.48,MEDIO
2008,Canada,Wheat,5.77,1034.34,1.97,10,98.87,57.56,Water Management,150.37,BAIXO
1993,Nigeria,Fruits,32.78,854.02,7.27,9,98.03,83.3,Organic Farming,315.03,BAIXO
2022,Canada,Fruits,-0.51,2093.27,11.29,3,55.19,34.4,No Adaptation,1323.92,MEDIO
1997,USA,Coffee,34.07,1965.45,20.34,9,49.77,49.98,Drought-resistant Crops,642.36,MEDIO
2011,Brazil,Fruits,13.29,1277.82,5.12,10,97.87,44.64,Water Management,403.83,BAIXO
1994,China,Cotton,19.72,1314.65,3.13,6,52.17,43.03,Organic Farming,445.9,BAIXO
2022,France,Rice,33.63,790.51,0.67,0,38.78,60.66,Crop Rotation,1079.45,BAIXO
2000,Nigeria,Rice,28.65,1312.04,15.52,1,21.39,71.49,No Adaptation,605.68,MEDIO
2016,Australia,Rice,24.16,1676.06,23.13,10,88.89,58.99,Organic Farming,646.38,MEDIO
2012,USA,Vegetables,-3.77,698.5,27.68,2,69.03,80.0,No Adaptation,268.11,MEDIO
2008,Australia,Corn,25.49,1704.94,20.18,3,48.66,45.4,Crop Rotation,611.87,MEDIO
2010,France,Sugarcane,2.41,256.48,18.95,4,97.88,99.09,Water Management,165.43,MEDIO
1990,Nigeria,Vegetables,4.03,338.35,6.57,0,47.31,74.72,No Adaptation,165.05,BAIXO
2000,USA,Vegetables,23.61,1287.1,17.0,7,64.45,52.68,Crop Rotation,329.19,MEDIO
1993,Argentina,Cotton,11.76,949.18,16.23,5,85.6,32.25,Drought-resistant Crops,703.14,MEDIO
2018,Canada,Coffee,32.91,2220.48,26.29,2,43.33,85.36,Drought-resistant Crops,1297.88,MEDIO
2003,Canada,Coffee,2.67,2587.66,26.72,9,50.16,61.88,Drought-resistant Crops,433.42,MEDIO
1994,USA,Vegetables,13.55,2895.8,1.5,6,94.31,74.06,Water Management,1316.2,BAIXO
2006,Argentina,Coffee,10.13,890.52,16.65,3,18.87,52.7,Crop Rotation,1734.44,MEDIO
2008,France,Cotton,9.84,2318.15,14.62,0,95.05,67.05,Drought-resistant Crops,397.42,MEDIO
2007,Nigeria,Soybeans,32.22,1904.65,24.17,5,35.82,35.55,Organic Farming,1093.87,MEDIO
2002,Argentina,Coffee,14.27,2838.72,23.81,6,85.95,45.69,No Adaptation,695.54,MEDIO
2001,Australia,Cotton,-2.56,968.1,14.71,2,83.63,85.0,No Adaptation,660.38,MEDIO
2006,Canada,Rice,28.83,1127.9,12.97,8,43.43,35.83,No Adaptation,507.87,MEDIO
2014,Nigeria,Barley,-2.66,2392.65,6.35,2,15.36,58.38,Organic Farming,526.14,BAIXO
2010,Brazil,Corn,16.09,2159.68,29.85,2,43.28,88.72,Organic Farming,521.96,MEDIO
1996,Canada,Corn,9.04,2443.72,13.53,1,77.46,52.91,Crop Rotation,644.11,MEDIO
2008,France,Coffee,9.46,2091.63,6.38,4,65.53,88.71,Water Management,91.16,BAIXO
2016,Nigeria,Corn,10.21,1705.08,7.53,1,62.81,39.89,Drought-resistant Crops,2145.28,BAIXO
1992,India,Cotton,-0.23,1083.84,21.12,9,81.21,42.85,No Adaptation,652.9,MEDIO
2009,Russia,Rice,2.6,1906.86,6.83,2,83.67,41.7,Crop Rotation,666.19,BAIXO
2007,India,Vegetables,26.58,1780.37,5.03,2,52.49,73.0,Water Management,289.11,BAIXO
2008,USA,Barley,20.12,1726.06,17.39,3,20.93,75.91,Water Management,1688.01,MEDIO
2022,Brazil,Barley,17.9,2948.08,17.69,2,51.74,32.34,Water Management,1142.6,MEDIO
1997,India,Rice,22.27,2731.72,23.5,6,22.85,77.25,Organic Farming,668.63,MEDIO
2021,Canada,Vegetables,10.72,2592.91,8.64,0,35.46,88.53,Organic Farming,771.8,BAIXO
2004,Russia,Rice,11.52,1307.87,7.18,3,64.38,97.21,Crop Rotation,722.87,BAIXO
2006,Nigeria,Rice,-1.84,588.7,21.77,7,74.73,51.19,Organic Farming,325.35,MEDIO
2022,France,Cotton,32.86,357.28,23.51,4,34.65,74.57,Water Management,252.29,MEDIO
2002,Canada,Sugarcane,12.66,369.35,17.84,2,77.67,93.93,Drought-resistant Crops,887.08,MEDIO
2023,India,Barley,22.84,1773.19,9.19,4,52.43,86.92,Water Management,518.85,BAIXO
2003,Australia,Corn,17.16,1583.9,26.91,9,94.01,61.18,Drought-resistant Crops,1138.52,MEDIO
2008,Australia,Sugarcane,29.98,2261.36,25.01,10,31.72,96.13,No Adaptation,779.44,MEDIO
2006,Nigeria,Rice,13.91,2422.18,14.64,7,38.39,31.47,Water Management,489.71,MEDIO
1997,Russia,Corn,16.16,1437.26,28.74,3,82.99,32.52,Drought-resistant Crops,712.62,MEDIO
2014,Australia,Barley,11.97,925.85,18.3,3,57.32,30.69,No Adaptation,732.34,MEDIO
2024,France,Rice,8.44,1826.14,3.77,2,16.98,52.2,Drought-resistant Crops,272.17,BAIXO
2024,Canada,Coffee,23.95,2897.93,1.69,4,19.24,80.74,Drought-resistant Crops,653.48,BAIXO
1994,Russia,Rice,28.6,1115.66,17.61,0,48.55,32.58,No Adaptation,320.7,MEDIO
2002,China,Rice,11.63,2213.48,21.8,5,59.5,60.61,Organic Farming,1459.41,MEDIO
2013,USA,Corn,5.74,2114.15,13.19,9,31.08,86.23,Drought-resistant Crops,413.76,MEDIO
2012,France,Sugarcane,12.77,2558.77,10.54,1,44.32,55.42,No Adaptation,553.08,MEDIO
2018,China,Soybeans,-3.26,2404.68,28.73,0,92.93,94.5,Drought-resistant Crops,265.15,MEDIO
2021,Australia,Coffee,8.2,1856.73,20.58,6,32.17,84.87,Organic Farming,381.33,MEDIO
2003,Nigeria,Soybeans,-1.54,2701.05,14.45,9,55.88,45.43,Organic Farming,645.17,MEDIO
1999,Brazil,Corn,6.32,2275.48,27.27,3,33.44,39.63,Drought-resistant Crops,197.58,MEDIO
2009,Canada,Sugarcane,12.7,968.45,27.67,2,78.66,73.2,Water Management,1247.07,MEDIO
2021,Russia,Coffee,32.46,2043.46,0.69,2,30.86,93.12,Drought-resistant Crops,174.83,BAIXO
1995,India,Soybeans,20.86,1283.71,24.56,8,82.82,46.0,Organic Farming,479.45,MEDIO
2003,Argentina,Soybeans,33.88,2590.81,23.17,7,21.5,62.3,Crop Rotation,727.85,MEDIO
1998,Australia,Fruits,8.51,1046.72,29.36,4,51.07,48.58,Water Management,412.13,MEDIO
1997,USA,Soybeans,3.84,1178.99,2.49,1,46.12,54.04,Water Management,375.95,BAIXO
1999,Argentina,Fruits,0.86,273.9,1.22,9,18.71,57.36,No Adaptation,488.49,BAIXO
2005,USA,Fruits,17.33,1339.45,9.85,0,97.49,36.4,No Adaptation,1185.31,BAIXO
2004,Canada,Soybeans,29.61,1033.75,11.99,8,69.45,93.48,Drought-resistant Crops,193.86,MEDIO
2014,Nigeria,Fruits,27.59,1314.12,25.65,4,66.76,65.8,Crop Rotation,240.63,MEDIO
2017,Argentina,Rice,27.8,876.63,6.2,2,31.24,91.58,Organic Farming,704.54,BAIXO
2015,India,Cotton,8.81,205.46,12.69,5,97.49,36.18,Crop Rotation,269.11,MEDIO
2013,Canada,Wheat,19.01,1261.46,23.14,8,13.36,66.15,Organic Farming,1632.42,MEDIO
2008,Argentina,Wheat,3.83,1909.91,5.79,10,94.1,85.88,No Adaptation,544.02,BAIXO
2014,Australia,Corn,16.2,2682.47,3.88,6,74.93,78.83,Water Management,871.41,BAIXO
2017,Nigeria,Corn,16.52,2592.7,9.25,3,96.65,49.6,Organic Farming,950.32,BAIXO
2001,China,Corn,32.57,2108.28,28.63,8,65.66,86.38,Drought-resistant Crops,1250.65,MEDIO
1990,Argentina,Wheat,14.98,1175.6,25.88,8,57.06,65.92,No Adaptation,1177.04,MEDIO
2011,Canada,Cotton,10.99,1951.52,21.07,10,17.1,93.87,Crop Rotation,413.3,MEDIO
1998,Canada,Corn,14.36,296.95,28.24,7,27.39,42.59,No Adaptation,713.53,MEDIO
1999,China,Rice,31.26,853.27,29.68,1,14.25,52.42,Water Management,614.88,MEDIO
2010,Argentina,Soybeans,1.97,2570.13,23.17,5,80.65,88.46,Drought-resistant Crops,829.84,MEDIO
2015,Russia,Fruits,8.37,764.58,15.02,4,92.39,36.01,Water Management,231.72,MEDIO
2008,USA,Barley,24.57,1212.42,4.38,2,34.16,85.01,Organic Farming,1374.56,BAIXO
2014,Argentina,Corn,34.88,2816.57,22.88,7,54.64,53.06,Organic Farming,428.81,MEDIO
2017,India,Rice,25.13,917.26,16.93,0,76.86,33.24,Crop Rotation,354.12,MEDIO
1990,China,Wheat,15.42,269.76,29.93,5,70.8,67.66,Crop Rotation,795.47,MEDIO
2004,USA,Vegetables,-4.37,2292.03,29.68,2,13.27,97.11,No Adaptation,878.12,MEDIO
2024,China,Rice,34.18,2247.4,27.31,7,21.7,69.96,Drought-resistant Crops,668.04,MEDIO
1993,France,Cotton,17.03,2963.0,15.89,10,90.01,64.64,Drought-resistant Crops,903.09,MEDIO
2023,USA,Corn,28.55,2395.28,6.0,6,30.69,31.11,Organic Farming,293.21,BAIXO
2003,Nigeria,Wheat,32.69,2947.62,15.42,10,56.93,76.36,Drought-resistant Crops,281.67,MEDIO
2023,India,Barley,29.49,935.71,20.08,3,24.55,98.17,Drought-resistant Crops,1185.57,MEDIO
1995,Argentina,Corn,4.73,2974.22,1.61,2,14.16,44.34,Drought-resistant Crops,658.82,BAIXO
2010,France,Fruits,19.91,852.78,4.05,0,82.37,62.78,Organic Farming,710.31,BAIXO
2010,Argentina,Barley,31.97,1101.92,14.96,10,59.55,34.42,No Adaptation,388.26,MEDIO
2007,France,Vegetables,28.35,2444.37,13.7,5,49.37,42.09,Crop Rotation,388.79,MEDIO
1995,Nigeria,Coffee,11.56,2329.59,25.09,2,47.26,75.76,Drought-resistant Crops,457.67,MEDIO
2003,Russia,Corn,4.3,2944.75,25.29,3,75.39,38.98,Drought-resistant Crops,149.94,MEDIO
1991,China,Vegetables,1.28,1509.39,7.2,0,78.62,43.56,Crop Rotation,704.03,BAIXO
2023,China,Coffee,1.63,2849.39,10.63,8,22.35,62.31,Water Management,449.33,MEDIO
2003,Russia,Corn,3.21,1949.4,13.8,1,10.42,33.1,No Adaptation,234.2,MEDIO
1993,Argentina,Barley,16.71,1542.5,5.86,7,65.03,39.76,No Adaptation,873.87,BAIXO
1995,France,Soybeans,27.16,1497.41,19.99,10,30.3,58.51,Drought-resistant Crops,611.28,MEDIO
1997,Argentina,Vegetables,15.73,1302.95,23.33,5,75.15,82.94,Water Management,552.73,MEDIO
1991,India,Wheat,10.87,333.73,23.89,0,81.17,91.02,No Adaptation,847.03,MEDIO
2013,Brazil,Fruits,32.56,2844.46,1.63,7,84.92,97.38,Organic Farming,1045.41,BAIXO
2019,Argentina,Wheat,17.6,2432.88,14.56,10,73.27,71.26,Organic Farming,1853.02,MEDIO
2020,France,Sugarcane,17.81,796.73,10.18,6,58.78,57.88,Crop Rotation,1737.96,MEDIO
1990,France,Rice,23.2,1012.38,20.9,0,78.41,66.69,Drought-resistant Crops,843.96,MEDIO
1997,Nigeria,Soybeans,4.88,708.98,3.03,4,77.1,53.34,Drought-resistant Crops,1216.18,BAIXO
2002,Brazil,Wheat,16.35,248.51,11.88,0,24.7,81.57,No Adaptation,1403.94,MEDIO
1996,Brazil,Cotton,25.49,572.52,6.81,2,45.22,71.61,Drought-resistant Crops,971.09,BAIXO
2017,Brazil,Soybeans,33.18,2917.84,17.54,1,15.28,64.77,Water Management,1181.03,MEDIO
2003,France,Cotton,27.94,1819.47,7.62,6,87.99,42.72,Crop Rotation,1028.1,BAIXO
2004,India,Vegetables,25.96,1160.56,16.49,3,36.44,77.14,Drought-resistant Crops,1499.9,MEDIO
1997,China,Fruits,14.81,1514.92,27.25,7,79.56,73.87,Crop Rotation,838.89,MEDIO
2000,Brazil,Rice,33.06,465.15,9.33,4,90.52,36.68,Water Management,615.28,BAIXO
2011,Russia,Soybeans,12.15,212.75,10.89,1,17.25,54.25,Crop Rotation,1843.68,MEDIO
2005,Brazil,Vegetables,21.28,1176.16,25.81,8,67.2,37.96,Organic Farming,258.14,MEDIO
2002,Russia,Corn,31.96,1018.12,14.57,4,51.54,31.4,No Adaptation,1298.43,MEDIO
1994,Australia,Corn,31.39,798.65,8.8,7,56.83,87.31,No Adaptation,389.41,BAIXO
2012,USA,Rice,11.88,1364.47,8.22,4,68.36,78.06,Water Management,1787.22,BAIXO
2024,Argentina,Rice,-1.03,1375.44,26.71,7,88.96,31.47,No Adaptation,204.96,MEDIO
1994,Canada,Coffee,21.13,1073.43,26.99,1,58.11,83.8,Organic Farming,456.0,MEDIO
1992,Brazil,Rice,20.9,2339.05,1.77,2,82.68,54.24,Crop Rotation,552.67,BAIXO
2010,India,Wheat,21.77,210.3,9.99,9,19.24,51.83,Water Management,100.84,BAIXO
2019,India,Fruits,-2.7,2741.68,7.91,10,35.05,93.52,Organic Farming,305.28,BAIXO
2009,Canada,Cotton,28.85,2028.33,7.96,8,88.88,32.44,Crop Rotation,396.48,BAIXO
2019,Nigeria,Vegetables,14.31,2022.69,27.14,6,91.55,40.85,Organic Farming,850.51,MEDIO
2018,France,Rice,1.69,1012.26,12.19,4,88.68,74.24,Water Management,183.67,MEDIO
1991,China,Vegetables,33.32,1456.66,16.4,4,86.49,59.54,Drought-resistant Crops,306.41,MEDIO
1992,India,Wheat,4.0,2553.17,3.48,10,67.29,62.31,Water Management,833.4,BAIXO
1999,Nigeria,Corn,17.0,2502.55,4.88,0,33.91,42.89,Drought-resistant Crops,663.41,BAIXO
2009,Argentina,Cotton,1.63,1942.88,16.49,7,50.86,98.64,No Adaptation,75.25,MEDIO
2017,Nigeria,Cotton,6.68,2298.79,20.59,9,44.55,61.68,No Adaptation,580.38,MEDIO
2016,Russia,Fruits,27.23,481.89,2.87,10,79.43,34.15,No Adaptation,988.55,BAIXO
1992,Argentina,Rice,12.19,1357.22,19.44,8,81.02,42.97,Crop Rotation,913.1,MEDIO
2018,Canada,Vegetables,32.26,1491.16,11.18,3,19.95,54.36,Drought-resistant Crops,817.56,MEDIO
2007,India,Rice,1.41,1433.18,19.37,5,79.11,59.11,Organic Farming,236.32,MEDIO
1995,India,Cotton,16.39,1428.32,24.65,6,98.06,59.59,Water Management,689.41,MEDIO
2002,France,Cotton,28.84,2179.58,5.9,3,60.02,78.81,Drought-resistant Crops,547.46,BAIXO
2011,Nigeria,Cotton,27.48,874.46,22.34,8,40.45,63.71,Drought-resistant Crops,1499.57,MEDIO
1991,Canada,Wheat,8.13,2051.08,17.28,5,98.24,58.95,Drought-resistant Crops,369.05,MEDIO
2023,China,Vegetables,2.04,2149.31,14.69,0,52.9,88.82,Drought-resistant Crops,875.71,MEDIO
2007,China,Sugarcane,24.47,1646.89,11.21,10,25.3,91.42,Organic Farming,937.12,MEDIO
2001,Brazil,Corn,-1.45,1389.08,23.59,4,39.1,56.63,Crop Rotation,366.9,MEDIO
2013,Nigeria,Soybeans,29.12,2010.44,21.89,9,80.23,61.82,Crop Rotation,579.77,MEDIO
